"","DateTime","Vehicles"
"1","2015-11-01",2036
"2","2015-11-02",2349
"3","2015-11-03",2351
"4","2015-11-04",2258
"5","2015-11-05",2210
"6","2015-11-06",2186
"7","2015-11-07",2009
"8","2015-11-08",2031
"9","2015-11-09",2212
"10","2015-11-10",2486
"11","2015-11-11",2289
"12","2015-11-12",2383
"13","2015-11-13",2279
"14","2015-11-14",2046
"15","2015-11-15",2018
"16","2015-11-16",2265
"17","2015-11-17",2416
"18","2015-11-18",2700
"19","2015-11-19",2721
"20","2015-11-20",2636
"21","2015-11-21",2287
"22","2015-11-22",2294
"23","2015-11-23",2481
"24","2015-11-24",2370
"25","2015-11-25",2280
"26","2015-11-26",2352
"27","2015-11-27",2277
"28","2015-11-28",2176
"29","2015-11-29",2170
"30","2015-11-30",2361
"31","2015-12-01",2338
"32","2015-12-02",2428
"33","2015-12-03",2316
"34","2015-12-04",2280
"35","2015-12-05",2039
"36","2015-12-06",2028
"37","2015-12-07",2266
"38","2015-12-08",2263
"39","2015-12-09",2311
"40","2015-12-10",2261
"41","2015-12-11",2267
"42","2015-12-12",2055
"43","2015-12-13",2085
"44","2015-12-14",2307
"45","2015-12-15",2354
"46","2015-12-16",2377
"47","2015-12-17",2371
"48","2015-12-18",2658
"49","2015-12-19",2116
"50","2015-12-20",2107
"51","2015-12-21",2320
"52","2015-12-22",2319
"53","2015-12-23",2276
"54","2015-12-24",2201
"55","2015-12-25",1978
"56","2015-12-26",2023
"57","2015-12-27",2038
"58","2015-12-28",2266
"59","2015-12-29",2302
"60","2015-12-30",2371
"61","2015-12-31",2142
"62","2016-01-01",1971
"63","2016-01-02",2053
"64","2016-01-03",2083
"65","2016-01-04",2431
"66","2016-01-05",2429
"67","2016-01-06",2439
"68","2016-01-07",2383
"69","2016-01-08",2461
"70","2016-01-09",2130
"71","2016-01-10",2072
"72","2016-01-11",2403
"73","2016-01-12",2403
"74","2016-01-13",2400
"75","2016-01-14",2318
"76","2016-01-15",2429
"77","2016-01-16",2209
"78","2016-01-17",2171
"79","2016-01-18",2554
"80","2016-01-19",2675
"81","2016-01-20",2600
"82","2016-01-21",2561
"83","2016-01-22",2737
"84","2016-01-23",2330
"85","2016-01-24",2277
"86","2016-01-25",2635
"87","2016-01-26",2513
"88","2016-01-27",2776
"89","2016-01-28",2872
"90","2016-01-29",2948
"91","2016-01-30",2603
"92","2016-01-31",2575
"93","2016-02-01",2833
"94","2016-02-02",2719
"95","2016-02-03",2894
"96","2016-02-04",2723
"97","2016-02-05",2719
"98","2016-02-06",2679
"99","2016-02-07",2389
"100","2016-02-08",2637
"101","2016-02-09",2719
"102","2016-02-10",2645
"103","2016-02-11",2642
"104","2016-02-12",2691
"105","2016-02-13",2375
"106","2016-02-14",2249
"107","2016-02-15",2691
"108","2016-02-16",2749
"109","2016-02-17",2771
"110","2016-02-18",2776
"111","2016-02-19",2656
"112","2016-02-20",2440
"113","2016-02-21",2392
"114","2016-02-22",2742
"115","2016-02-23",3014
"116","2016-02-24",2969
"117","2016-02-25",2813
"118","2016-02-26",3124
"119","2016-02-27",2610
"120","2016-02-28",2564
"121","2016-02-29",3126
"122","2016-03-01",3068
"123","2016-03-02",3044
"124","2016-03-03",3032
"125","2016-03-04",2931
"126","2016-03-05",2831
"127","2016-03-06",2440
"128","2016-03-07",2680
"129","2016-03-08",2772
"130","2016-03-09",2760
"131","2016-03-10",2932
"132","2016-03-11",2783
"133","2016-03-12",2733
"134","2016-03-13",2448
"135","2016-03-14",2848
"136","2016-03-15",2824
"137","2016-03-16",2823
"138","2016-03-17",2745
"139","2016-03-18",2679
"140","2016-03-19",2385
"141","2016-03-20",2447
"142","2016-03-21",2812
"143","2016-03-22",2713
"144","2016-03-23",2695
"145","2016-03-24",2522
"146","2016-03-25",2443
"147","2016-03-26",2274
"148","2016-03-27",2236
"149","2016-03-28",2583
"150","2016-03-29",2758
"151","2016-03-30",2810
"152","2016-03-31",2678
"153","2016-04-01",2675
"154","2016-04-02",2386
"155","2016-04-03",2342
"156","2016-04-04",2809
"157","2016-04-05",2844
"158","2016-04-06",2826
"159","2016-04-07",2966
"160","2016-04-08",2680
"161","2016-04-09",2684
"162","2016-04-10",2473
"163","2016-04-11",2839
"164","2016-04-12",3228
"165","2016-04-13",2932
"166","2016-04-14",2817
"167","2016-04-15",2768
"168","2016-04-16",2411
"169","2016-04-17",2470
"170","2016-04-18",2938
"171","2016-04-19",2990
"172","2016-04-20",3118
"173","2016-04-21",3011
"174","2016-04-22",2915
"175","2016-04-23",3110
"176","2016-04-24",2902
"177","2016-04-25",3161
"178","2016-04-26",2939
"179","2016-04-27",2872
"180","2016-04-28",3055
"181","2016-04-29",3167
"182","2016-04-30",2686
"183","2016-05-01",2741
"184","2016-05-02",2960
"185","2016-05-03",2995
"186","2016-05-04",2874
"187","2016-05-05",2824
"188","2016-05-06",2933
"189","2016-05-07",2447
"190","2016-05-08",2541
"191","2016-05-09",3009
"192","2016-05-10",3012
"193","2016-05-11",2944
"194","2016-05-12",2992
"195","2016-05-13",2966
"196","2016-05-14",2629
"197","2016-05-15",2540
"198","2016-05-16",3007
"199","2016-05-17",3007
"200","2016-05-18",2896
"201","2016-05-19",3029
"202","2016-05-20",2970
"203","2016-05-21",2667
"204","2016-05-22",2452
"205","2016-05-23",2962
"206","2016-05-24",2999
"207","2016-05-25",2938
"208","2016-05-26",2921
"209","2016-05-27",2842
"210","2016-05-28",2761
"211","2016-05-29",2575
"212","2016-05-30",2939
"213","2016-05-31",2909
"214","2016-06-01",2861
"215","2016-06-02",2921
"216","2016-06-03",2818
"217","2016-06-04",2393
"218","2016-06-05",2374
"219","2016-06-06",2884
"220","2016-06-07",2934
"221","2016-06-08",2976
"222","2016-06-09",2881
"223","2016-06-10",2750
"224","2016-06-11",2397
"225","2016-06-12",2360
"226","2016-06-13",2891
"227","2016-06-14",2899
"228","2016-06-15",2928
"229","2016-06-16",3024
"230","2016-06-17",2918
"231","2016-06-18",2550
"232","2016-06-19",2422
"233","2016-06-20",2991
"234","2016-06-21",3065
"235","2016-06-22",3003
"236","2016-06-23",2977
"237","2016-06-24",2824
"238","2016-06-25",2452
"239","2016-06-26",2437
"240","2016-06-27",2906
"241","2016-06-28",3038
"242","2016-06-29",3128
"243","2016-06-30",3000
"244","2016-07-01",2977
"245","2016-07-02",2472
"246","2016-07-03",2378
"247","2016-07-04",2878
"248","2016-07-05",2941
"249","2016-07-06",2892
"250","2016-07-07",2889
"251","2016-07-08",2854
"252","2016-07-09",2696
"253","2016-07-10",2473
"254","2016-07-11",3099
"255","2016-07-12",3082
"256","2016-07-13",3030
"257","2016-07-14",3113
"258","2016-07-15",3446
"259","2016-07-16",3244
"260","2016-07-17",2692
"261","2016-07-18",3150
"262","2016-07-19",3189
"263","2016-07-20",3285
"264","2016-07-21",3573
"265","2016-07-22",3439
"266","2016-07-23",3407
"267","2016-07-24",3132
"268","2016-07-25",3386
"269","2016-07-26",3215
"270","2016-07-27",3111
"271","2016-07-28",3219
"272","2016-07-29",2989
"273","2016-07-30",2610
"274","2016-07-31",2521
"275","2016-08-01",3101
"276","2016-08-02",3273
"277","2016-08-03",3258
"278","2016-08-04",2878
"279","2016-08-05",2720
"280","2016-08-06",2457
"281","2016-08-07",2472
"282","2016-08-08",3176
"283","2016-08-09",3175
"284","2016-08-10",3238
"285","2016-08-11",3269
"286","2016-08-12",3166
"287","2016-08-13",2556
"288","2016-08-14",2509
"289","2016-08-15",2780
"290","2016-08-16",3159
"291","2016-08-17",3117
"292","2016-08-18",3083
"293","2016-08-19",2976
"294","2016-08-20",2639
"295","2016-08-21",2572
"296","2016-08-22",3208
"297","2016-08-23",3308
"298","2016-08-24",3389
"299","2016-08-25",3226
"300","2016-08-26",3201
"301","2016-08-27",2937
"302","2016-08-28",2988
"303","2016-08-29",3337
"304","2016-08-30",3206
"305","2016-08-31",3228
"306","2016-09-01",3361
"307","2016-09-02",3256
"308","2016-09-03",2655
"309","2016-09-04",2624
"310","2016-09-05",2886
"311","2016-09-06",3307
"312","2016-09-07",3337
"313","2016-09-08",3247
"314","2016-09-09",3425
"315","2016-09-10",2878
"316","2016-09-11",3003
"317","2016-09-12",3420
"318","2016-09-13",3295
"319","2016-09-14",3205
"320","2016-09-15",3145
"321","2016-09-16",3343
"322","2016-09-17",3000
"323","2016-09-18",2872
"324","2016-09-19",3445
"325","2016-09-20",3505
"326","2016-09-21",3592
"327","2016-09-22",3507
"328","2016-09-23",3577
"329","2016-09-24",3353
"330","2016-09-25",3249
"331","2016-09-26",3716
"332","2016-09-27",3597
"333","2016-09-28",3666
"334","2016-09-29",3525
"335","2016-09-30",3602
"336","2016-10-01",2977
"337","2016-10-02",3015
"338","2016-10-03",3515
"339","2016-10-04",3568
"340","2016-10-05",3409
"341","2016-10-06",3381
"342","2016-10-07",3199
"343","2016-10-08",2774
"344","2016-10-09",2788
"345","2016-10-10",3357
"346","2016-10-11",3233
"347","2016-10-12",3409
"348","2016-10-13",3512
"349","2016-10-14",3602
"350","2016-10-15",3210
"351","2016-10-16",2887
"352","2016-10-17",3595
"353","2016-10-18",3619
"354","2016-10-19",3942
"355","2016-10-20",3828
"356","2016-10-21",3907
"357","2016-10-22",3299
"358","2016-10-23",3180
"359","2016-10-24",3664
"360","2016-10-25",3580
"361","2016-10-26",3625
"362","2016-10-27",3663
"363","2016-10-28",3438
"364","2016-10-29",2794
"365","2016-10-30",2683
"366","2016-10-31",3249
"367","2016-11-01",3392
"368","2016-11-02",3475
"369","2016-11-03",3530
"370","2016-11-04",3386
"371","2016-11-05",2926
"372","2016-11-06",2931
"373","2016-11-07",3610
"374","2016-11-08",3578
"375","2016-11-09",3293
"376","2016-11-10",3457
"377","2016-11-11",3255
"378","2016-11-12",2754
"379","2016-11-13",2764
"380","2016-11-14",3486
"381","2016-11-15",3620
"382","2016-11-16",3658
"383","2016-11-17",3691
"384","2016-11-18",3571
"385","2016-11-19",3239
"386","2016-11-20",3017
"387","2016-11-21",3605
"388","2016-11-22",3591
"389","2016-11-23",3686
"390","2016-11-24",3590
"391","2016-11-25",3313
"392","2016-11-26",3277
"393","2016-11-27",2992
"394","2016-11-28",3663
"395","2016-11-29",3753
"396","2016-11-30",3756
"397","2016-12-01",3745
"398","2016-12-02",3826
"399","2016-12-03",3420
"400","2016-12-04",3049
"401","2016-12-05",3734
"402","2016-12-06",3734
"403","2016-12-07",3801
"404","2016-12-08",3691
"405","2016-12-09",3608
"406","2016-12-10",3101
"407","2016-12-11",2929
"408","2016-12-12",3493
"409","2016-12-13",3635
"410","2016-12-14",3813
"411","2016-12-15",3862
"412","2016-12-16",3491
"413","2016-12-17",3213
"414","2016-12-18",3094
"415","2016-12-19",3660
"416","2016-12-20",3575
"417","2016-12-21",3611
"418","2016-12-22",3391
"419","2016-12-23",3080
"420","2016-12-24",2687
"421","2016-12-25",2536
"422","2016-12-26",3097
"423","2016-12-27",3230
"424","2016-12-28",3250
"425","2016-12-29",3313
"426","2016-12-30",3144
"427","2016-12-31",2659
"428","2017-01-01",2984
"429","2017-01-02",3886
"430","2017-01-03",4384
"431","2017-01-04",4548
"432","2017-01-05",4542
"433","2017-01-06",4280
"434","2017-01-07",4108
"435","2017-01-08",4043
"436","2017-01-09",4756
"437","2017-01-10",4593
"438","2017-01-11",4468
"439","2017-01-12",4430
"440","2017-01-13",4192
"441","2017-01-14",3644
"442","2017-01-15",3833
"443","2017-01-16",4684
"444","2017-01-17",4655
"445","2017-01-18",4591
"446","2017-01-19",4489
"447","2017-01-20",4315
"448","2017-01-21",3799
"449","2017-01-22",3659
"450","2017-01-23",4503
"451","2017-01-24",4584
"452","2017-01-25",4372
"453","2017-01-26",4031
"454","2017-01-27",4215
"455","2017-01-28",3816
"456","2017-01-29",3631
"457","2017-01-30",4756
"458","2017-01-31",4668
"459","2017-02-01",4512
"460","2017-02-02",4741
"461","2017-02-03",4434
"462","2017-02-04",4093
"463","2017-02-05",3940
"464","2017-02-06",4625
"465","2017-02-07",4617
"466","2017-02-08",4517
"467","2017-02-09",4773
"468","2017-02-10",4800
"469","2017-02-11",3903
"470","2017-02-12",3692
"471","2017-02-13",4963
"472","2017-02-14",4434
"473","2017-02-15",4521
"474","2017-02-16",4461
"475","2017-02-17",4310
"476","2017-02-18",3978
"477","2017-02-19",3985
"478","2017-02-20",4973
"479","2017-02-21",4859
"480","2017-02-22",4793
"481","2017-02-23",5812
"482","2017-02-24",5076
"483","2017-02-25",4409
"484","2017-02-26",4024
"485","2017-02-27",4716
"486","2017-02-28",4876
"487","2017-03-01",4829
"488","2017-03-02",4711
"489","2017-03-03",4604
"490","2017-03-04",4001
"491","2017-03-05",3893
"492","2017-03-06",4582
"493","2017-03-07",4652
"494","2017-03-08",4555
"495","2017-03-09",4728
"496","2017-03-10",4522
"497","2017-03-11",3757
"498","2017-03-12",3690
"499","2017-03-13",4315
"500","2017-03-14",4786
"501","2017-03-15",4770
"502","2017-03-16",4708
"503","2017-03-17",4690
"504","2017-03-18",4218
"505","2017-03-19",3994
"506","2017-03-20",4946
"507","2017-03-21",5009
"508","2017-03-22",4986
"509","2017-03-23",4808
"510","2017-03-24",4656
"511","2017-03-25",4126
"512","2017-03-26",3876
"513","2017-03-27",4806
"514","2017-03-28",4866
"515","2017-03-29",4694
"516","2017-03-30",5056
"517","2017-03-31",4763
"518","2017-04-01",4257
"519","2017-04-02",4430
"520","2017-04-03",5020
"521","2017-04-04",4997
"522","2017-04-05",5014
"523","2017-04-06",4935
"524","2017-04-07",4564
"525","2017-04-08",4198
"526","2017-04-09",4179
"527","2017-04-10",5001
"528","2017-04-11",4980
"529","2017-04-12",4806
"530","2017-04-13",4657
"531","2017-04-14",4229
"532","2017-04-15",3910
"533","2017-04-16",3914
"534","2017-04-17",4756
"535","2017-04-18",4935
"536","2017-04-19",5290
"537","2017-04-20",5272
"538","2017-04-21",4898
"539","2017-04-22",4164
"540","2017-04-23",4154
"541","2017-04-24",5014
"542","2017-04-25",5117
"543","2017-04-26",4956
"544","2017-04-27",4856
"545","2017-04-28",4509
"546","2017-04-29",4020
"547","2017-04-30",4004
"548","2017-05-01",4381
"549","2017-05-02",4985
"550","2017-05-03",4907
"551","2017-05-04",4926
"552","2017-05-05",4705
"553","2017-05-06",3856
"554","2017-05-07",3776
"555","2017-05-08",4673
"556","2017-05-09",4900
"557","2017-05-10",4942
"558","2017-05-11",4952
"559","2017-05-12",4815
"560","2017-05-13",3949
"561","2017-05-14",3788
"562","2017-05-15",4834
"563","2017-05-16",4876
"564","2017-05-17",4833
"565","2017-05-18",4999
"566","2017-05-19",4774
"567","2017-05-20",3990
"568","2017-05-21",3838
"569","2017-05-22",5170
"570","2017-05-23",5153
"571","2017-05-24",5074
"572","2017-05-25",5077
"573","2017-05-26",4750
"574","2017-05-27",4051
"575","2017-05-28",3867
"576","2017-05-29",5029
"577","2017-05-30",5177
"578","2017-05-31",5123
"579","2017-06-01",5317
"580","2017-06-02",4967
"581","2017-06-03",4093
"582","2017-06-04",3770
"583","2017-06-05",4867
"584","2017-06-06",5464
"585","2017-06-07",5331
"586","2017-06-08",5193
"587","2017-06-09",5084
"588","2017-06-10",4060
"589","2017-06-11",3911
"590","2017-06-12",5177
"591","2017-06-13",5605
"592","2017-06-14",5426
"593","2017-06-15",5204
"594","2017-06-16",5061
"595","2017-06-17",4054
"596","2017-06-18",3829
"597","2017-06-19",5175
"598","2017-06-20",5360
"599","2017-06-21",5346
"600","2017-06-22",5779
"601","2017-06-23",5063
"602","2017-06-24",4131
"603","2017-06-25",3951
"604","2017-06-26",4876
"605","2017-06-27",5629
"606","2017-06-28",5499
"607","2017-06-29",5495
"608","2017-06-30",5283
